color_id,color_name,x_m,y_m
1,Yellow,80.0,81.75
2,Blue,80.0,78.25
3,Orange,79.4390771484375,78.273671875
3,Orange,79.4390771484375,81.726328125
3,Orange,80.7390771484375,81.726328125
3,Orange,80.7390771484375,78.273671875
3,Orange,71.0,78.25
3,Orange,69.0,78.25
3,Orange,71.0,81.75
3,Orange,69.0,81.75
1,Yellow,87.898037109375,78.1658544921875
1,Yellow,90.037958984375,74.9004931640625
1,Yellow,90.86099609375,70.7519775390625
1,Yellow,90.039345703125,66.60310546875
1,Yellow,87.693984375,63.08314453125
1,Yellow,84.182548828125,60.72546875
1,Yellow,80.0366357421875,59.88806640625
1,Yellow,75.8852001953125,60.697412109375
1,Yellow,72.3579150390625,63.03142578125
1,Yellow,69.98900390625,66.5351904296875
1,Yellow,69.1380078125,70.6782958984375
1,Yellow,69.9338525390625,74.8322998046875
1,Yellow,72.0736962890625,78.12451171875
2,Blue,84.987958984375,76.2212451171875
2,Blue,86.803291015625,73.5637451171875
2,Blue,87.36099609375,70.7512841796875
2,Blue,86.804208984375,67.93875
2,Blue,85.2143359375,65.55322265625
2,Blue,82.833955078125,63.95521484375
2,Blue,80.0237158203125,63.388046875
2,Blue,77.2098291015625,63.937060546875
2,Blue,74.8193115234375,65.519697265625
2,Blue,73.213955078125,67.8952294921875
2,Blue,72.637919921875,70.7036669921875
2,Blue,73.1782177734375,73.5192529296875
2,Blue,74.9713720703125,76.161484375
1,Yellow,84.987958984375,83.77875
1,Yellow,86.803291015625,86.43625
1,Yellow,87.36099609375,89.248720703125
1,Yellow,86.804208984375,92.06125
1,Yellow,85.2143359375,94.44677734375
1,Yellow,82.833955078125,96.04478515625
1,Yellow,80.0237158203125,96.611953125
1,Yellow,77.2098291015625,96.062939453125
1,Yellow,74.8193115234375,94.48029296875
1,Yellow,73.213955078125,92.104765625
1,Yellow,72.637919921875,89.296328125
1,Yellow,73.1782177734375,86.4807421875
1,Yellow,74.9713720703125,83.838515625
2,Blue,87.898037109375,81.834140625
2,Blue,90.037958984375,85.09951171875
2,Blue,90.86099609375,89.248017578125
2,Blue,90.039345703125,93.39689453125
2,Blue,87.693984375,96.91685546875
2,Blue,84.182548828125,99.27453125
2,Blue,80.0366357421875,100.11193359375
2,Blue,75.8852001953125,99.302587890625
2,Blue,72.3579150390625,96.96857421875
2,Blue,69.98900390625,93.4648046875
2,Blue,69.1380078125,89.32169921875
2,Blue,69.9338525390625,85.1676953125
2,Blue,72.0736962890625,81.87548828125
1,Yellow,77.087001953125,82.25
1,Yellow,82.887001953125,82.25
2,Blue,77.087001953125,77.75
2,Blue,82.887001953125,77.75
3,Orange,89.0,81.75
3,Orange,90.996787109375,81.75
3,Orange,93.000712890625,81.75
3,Orange,95.0071484375,81.75
3,Orange,97.01263671875,81.75
3,Orange,99.0,81.75
3,Orange,89.0,78.25
3,Orange,90.996787109375,78.25
3,Orange,93.000712890625,78.25
3,Orange,95.0071484375,78.25
3,Orange,97.01263671875,78.25
3,Orange,99.0,78.25
3,Orange,99.0,80.58
3,Orange,99.0,79.42
